timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691752330287,1055,HTTP Request,200,OK,ThreadLogin 1-1,text,true,,69485,121,5,5,https://www.daraz.com.bd/,858,0,793
1691752331204,425,HTTP Request,200,OK,ThreadLogin 1-5,text,true,,69485,121,6,6,https://www.daraz.com.bd/,221,0,164
1691752330955,3489,HTTP Request,200,OK,ThreadLogin 1-4,text,true,,760750,121,17,17,https://www.daraz.com.bd/,222,0,166
1691752332205,2295,HTTP Request,200,OK,ThreadLogin 1-9,text,true,,69485,121,18,18,https://www.daraz.com.bd/,1273,0,1058
1691752330456,4352,HTTP Request,200,OK,ThreadLogin 1-2,text,true,,760786,121,19,19,https://www.daraz.com.bd/,689,0,624
1691752332955,1874,HTTP Request,200,OK,ThreadLogin 1-12,text,true,,69492,121,19,19,https://www.daraz.com.bd/,849,0,641
1691752334444,417,HTTP Request,200,OK,ThreadLogin 1-4,text,true,,69485,121,19,19,https://www.daraz.com.bd/,189,0,0
1691752330705,4214,HTTP Request,200,OK,ThreadLogin 1-3,text,true,,760790,121,18,18,https://www.daraz.com.bd/,440,0,376
1691752331344,4260,HTTP Request,200,OK,ThreadLogin 1-1,text,true,,760792,121,19,19,https://www.daraz.com.bd/,56,0,0
1691752334453,1635,HTTP Request,200,OK,ThreadLogin 1-18,text,true,,69493,121,18,18,https://www.daraz.com.bd/,793,0,584
1691752331454,10052,HTTP Request,200,OK,ThreadLogin 1-6,text,true,,760768,121,18,18,https://www.daraz.com.bd/,225,0,169
1691752334501,7346,HTTP Request,200,OK,ThreadLogin 1-9,text,true,,760776,121,18,18,https://www.daraz.com.bd/,220,0,0
1691752334204,7758,HTTP Request,200,OK,ThreadLogin 1-17,text,true,,760782,121,17,17,https://www.daraz.com.bd/,802,0,625
1691752331630,11254,HTTP Request,200,OK,ThreadLogin 1-5,text,true,,760768,121,17,17,https://www.daraz.com.bd/,56,0,0
1691752334955,9081,HTTP Request,200,OK,ThreadLogin 1-20,text,true,,760750,121,16,16,https://www.daraz.com.bd/,810,0,614
1691752334919,10374,HTTP Request,200,OK,ThreadLogin 1-3,text,true,,760776,121,16,16,https://www.daraz.com.bd/,178,0,0
1691752332704,15450,HTTP Request,200,OK,ThreadLogin 1-11,text,true,,760774,121,15,15,https://www.daraz.com.bd/,1999,0,1783
1691752333954,14709,HTTP Request,200,OK,ThreadLogin 1-16,text,true,,760792,121,15,15,https://www.daraz.com.bd/,834,0,618
1691752333704,15656,HTTP Request,200,OK,ThreadLogin 1-15,text,true,,760786,121,15,15,https://www.daraz.com.bd/,834,0,657
1691752334829,14798,HTTP Request,200,OK,ThreadLogin 1-12,text,true,,760792,121,15,15,https://www.daraz.com.bd/,188,0,0
1691752331704,18035,HTTP Request,200,OK,ThreadLogin 1-7,text,true,,760754,121,14,14,https://www.daraz.com.bd/,280,0,164
1691752348664,1186,HTTP Request,200,OK,ThreadLogin 1-16,text,true,,69485,121,14,14,https://www.daraz.com.bd/,198,0,0
1691752349360,775,HTTP Request,200,OK,ThreadLogin 1-15,text,true,,69485,121,13,13,https://www.daraz.com.bd/,204,0,0
1691752331954,18588,HTTP Request,200,OK,ThreadLogin 1-8,text,true,,760776,121,12,12,https://www.daraz.com.bd/,1129,0,936
1691752349739,1165,HTTP Request,200,OK,ThreadLogin 1-7,text,true,,69480,121,12,12,https://www.daraz.com.bd/,103,0,0
1691752333204,17740,HTTP Request,200,OK,ThreadLogin 1-13,text,true,,760808,121,11,11,https://www.daraz.com.bd/,852,0,637
1691752334808,16811,HTTP Request,200,OK,ThreadLogin 1-2,text,true,,760791,121,11,11,https://www.daraz.com.bd/,175,0,0
1691752333455,18236,HTTP Request,200,OK,ThreadLogin 1-14,text,true,,760792,121,10,10,https://www.daraz.com.bd/,876,0,645
1691752332454,19734,HTTP Request,200,OK,ThreadLogin 1-10,text,true,,760786,121,10,10,https://www.daraz.com.bd/,785,0,571
1691752334704,17654,HTTP Request,200,OK,ThreadLogin 1-19,text,true,,760766,121,10,10,https://www.daraz.com.bd/,780,0,564
1691752341505,11157,HTTP Request,200,OK,ThreadLogin 1-6,text,true,,760750,121,10,10,https://www.daraz.com.bd/,195,0,0
1691752336088,16603,HTTP Request,200,OK,ThreadLogin 1-18,text,true,,760800,121,9,9,https://www.daraz.com.bd/,209,0,0
1691752352189,1013,HTTP Request,200,OK,ThreadLogin 1-10,text,true,,69480,121,8,8,https://www.daraz.com.bd/,148,0,0
1691752341961,11300,HTTP Request,200,OK,ThreadLogin 1-17,text,true,,760782,121,7,7,https://www.daraz.com.bd/,198,0,0
1691752344035,11051,HTTP Request,200,OK,ThreadLogin 1-20,text,true,,760766,121,6,6,https://www.daraz.com.bd/,198,0,0
1691752351691,4270,HTTP Request,200,OK,ThreadLogin 1-14,text,true,,760812,121,5,5,https://www.daraz.com.bd/,171,0,0
1691752350542,5432,HTTP Request,200,OK,ThreadLogin 1-8,text,true,,760787,121,4,4,https://www.daraz.com.bd/,151,0,0
1691752348154,8038,HTTP Request,200,OK,ThreadLogin 1-11,text,true,,760774,121,3,3,https://www.daraz.com.bd/,114,0,0
1691752350944,5668,HTTP Request,200,OK,ThreadLogin 1-13,text,true,,760837,121,2,2,https://www.daraz.com.bd/,180,0,0
1691752352359,4387,HTTP Request,200,OK,ThreadLogin 1-19,text,true,,760766,121,1,1,https://www.daraz.com.bd/,207,0,0
